Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24101502,,4,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M8-1.25,ZINC PLATED [CL8.8],0.0177,,24101502,Metric Fastener,Nut & Washer,E_AB_M08-1.25.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104064,,1,,63,,,,EA,B,HEX.JAM NUT-LEFT THD.,3/4-16UNF,ZINC PLATED [GR.5],0.3443,,24104064,Inch Fastener,Nut & Washer,E_CE_0.750-16_LH.PAR ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104065,,1,,63,,,,EA,B,HEX.JAM NUT,3/4-16UNF,ZINC PLATED [GR.5],0.1283,,24104065,Inch Fastener,Nut & Washer,E_CE_0.750-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104612,,2,,63,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 55MM,ZINC PLATED [CL8.8],0.157,,24104612,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X055_CLS,50x055_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,30,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104525,,5,,63,,,,EA,B,HEX.JAM NUT,M6-1.00,ZINC PLATED [CL8.8],0.0103,,24104525,Metric Fastener,Nut & Washer,E_CE_M06-1.00.PAR    ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,61,,63,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,8,,63,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,8,,63,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104539,,6,,63,,,,EA,B,WASHER;FLAT M20,37MM OD;ZINC PLATED[GR.5],DIN 125A,0.077,,24104539,Metric Fastener,Nut & Washer,RP_M20.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,115,,63,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,8,,63,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104348,,4,,63,,,,EA,B,HEX.SOC.CAP SCREW,M8-1.25 X 20MM,ZINC PLATED [CL8.8],0.0811,,24104348,Metric Fastener,Hex.Socket Head Product,VTCY_M08-1.25X020.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101465,,16,,63,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 30MM,ZINC PLATED [CL8.8],0.0614,,24101465,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X030.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101455,,2,,63,,,,EA,B,HEX.SOC.CAP SCREW,M4-0.70 X 50MM,ZINC PLATED [CL8.8],0.0549,,24101455,Metric Fastener,Hex.Socket Head Product,VTCY_M04-0.70X050.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,62,,63,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101224,,8,,63,,,,EA,B,WASHER;SPRING LOCK,M8,ZINC PLATED,0.0099,,24101224,Metric Fastener,Nut & Washer,RR_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
121128,,4,,63,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 35MM,ZINC PLATED [CL8.8],0.1767,,121128,Metric Fastener,Hex.Head Product & Screw,121128.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
185502,,14,,63,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.222,,185502,Metric Fastener,Hex.Head Product & Screw,185502.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
185628,,5,,63,,,,EA,B,HEX.HD.CAP SCREW-FULL THD.,M6-1.00 X 30MM,ZINC PLATED [CL8.8],0.0491,,185628,Metric Fastener,Hex.Head Product & Screw,185628.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24100080,,4,,63,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 0.750""",ZINC PLATED [GR.5],0.0445,,24100080,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X0.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100081,,3,,63,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0684,,24100081,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100102,,4,,63,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.750""",ZINC PLATED [GR.5],0.1695,,24100102,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.750_G,750_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,3,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100178,,2,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/4-10UNC,ZINC PLATED [GR.2],0.1927,,24100178,Inch Fastener,Nut & Washer,E_AB_0.750-10.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100599,,8,,63,,,,EA,B,HEX.SOC.SET SCREW CUP POINT,"1/4-20UNC X 0.250""",ZINC PLATED [A574],0.0655,,24100599,Inch Fastener,Hex.Socket Head Product,VP_0.250-20X0.250.PAR,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100791,,8,,63,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 25MM,ZINC PLATED [CL8.8],0.0795,,24100791,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X025_CLS,50x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100058,,4,,63,,,,EA,B,WASHER;SPRING LOCK,"0.375""",ZINC PLATED,0.0113,,24100058,Inch Fastener,Nut & Washer,RR_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101193,,18,,63,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.0214,,24101193,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X016_CLS,00x016_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101195,,16,,63,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 25MM,ZINC PLATED [CL8.8],0.0264,,24101195,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X025_CLS,00x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101202,,4,,63,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 40MM,ZINC PLATED [CL8.8],0.0676,,24101202,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X040_CLS,25x040_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101207,,4,,63,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 40MM,ZINC PLATED [CL8.8],0.1035,,24101207,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X040_CLS,50x040_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101209,,2,,63,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 60MM,ZINC PLATED [CL8.8],0.1282,,24101209,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X060_CLS,50x060_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101215,,1,,63,,,,EA,B,HEX.NUT,M10-1.50,ZINC PLATED [CL8.8],0.0279,,24101215,Metric Fastener,Nut & Washer,E_HEX_M10-1.50.par   ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101216,,2,,63,,,,EA,B,WASHER;FLAT M4,9MM OD;ZINC PLATED[GR.5],DIN 125A,0.0026,,24101216,Metric Fastener,Nut & Washer,RP_M04.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
185514,,7,,63,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.2608,,185514,Metric Fastener,Hex.Head Product & Screw,185514.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101194,,10,,63,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0286,,24101194,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X020_CLS,00x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,4,,63,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101192,,8,,63,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 12MM,ZINC PLATED [CL8.8],0.0245,,24101192,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X012_CLS,00x012_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100050,,4,,63,,,,EA,B,"WASHER;FLAT 0.313""","0.875"" OD;ZINC PLATED[GR.5]",USS,0.0112,,24100050,Inch Fastener,Nut & Washer,RP_0.3125.PAR        ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
202144,,4,,63,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
210635,,52,,63,,,,EA,O,SEE 222969,CARRIAGE BOLT M6-1.00 X 70MM,ZINC PLATED [CL4.6],0,,210635,Metric Fastener,Hex.Head Product & Screw,210635.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
211581,,2,,63,,,,EA,B,HEX.SOC.CAP SCREW,M3-0.50 X 35MM,ZINC PLATED,0.2748,,211581,Metric Fastener,Hex.Socket Head Product,211581.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185832,,4,,63,,,,EA,B,WASHER;FLAT M3,7MM OD;ZINC PLATED[GR.5],DIN 125A,0.0135,,185832,Metric Fastener,Nut & Washer,185832.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100049,,39,,63,,,,EA,B,"WASHER;FLAT 0.250""","0.734"" OD;ZINC PLATED[GR.5]",USS,0.0103,,24100049,Inch Fastener,Nut & Washer,RP_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100030,,8,,81,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.000""",ZINC PLATED [GR.5],0.1333,,24100030,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100031,,8,,81,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.500""",ZINC PLATED [GR.5],0.1552,,24100031,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.500_G,500_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100049,,14,,81,,,,EA,B,"WASHER;FLAT 0.250""","0.734"" OD;ZINC PLATED[GR.5]",USS,0.0103,,24100049,Inch Fastener,Nut & Washer,RP_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100051,,8,,81,,,,EA,B,"WASHER;FLAT 0.375""","1.000"" OD;ZINC PLATED[GR.5]",USS,0.0203,,24100051,Inch Fastener,Nut & Washer,RP_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100053,,24,,81,,,,EA,B,"WASHER;FLAT 0.500""","1.375"" OD;ZINC PLATED[GR.5]",USS,0.042,,24100053,Inch Fastener,Nut & Washer,RP_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100060,,8,,81,,,,EA,B,WASHER;SPRING LOCK,"0.500""",ZINC PLATED,0.0326,,24100060,Inch Fastener,Nut & Washer,RR_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100081,,4,,81,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0684,,24100081,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100503,,4,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,5/16-18UNC,ZINC PLATED [GR.2],0.0173,,24100503,Inch Fastener,Nut & Washer,E_AB_0.313-18.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100791,,30,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 25MM,ZINC PLATED [CL8.8],0.0795,,24100791,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X025_CLS,50x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101193,,66,,81,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.0214,,24101193,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X016_CLS,00x016_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101194,,8,,81,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0286,,24101194,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X020_CLS,00x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101195,,8,,81,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 25MM,ZINC PLATED [CL8.8],0.0264,,24101195,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X025_CLS,00x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101199,,4,,81,,,,EA,B,HEX.HD.CAP SCREW,M8-1.25 X 20MM,ZINC PLATED [CL8.8],0.0477,,24101199,Metric Fastener,Hex.Head Product & Screw,VTHE_M08-1.25X020_CLS,25x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101206,,24,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.0817,,24101206,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X030_CLS,50x030_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101207,,6,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 40MM,ZINC PLATED [CL8.8],0.1035,,24101207,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X040_CLS,50x040_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
215599,,4,,81,,,,EA,P,HEX.SOC.SHOULDER SCREW,M08 X 08MM X M6-1,92981A198,2.431,,215599,Metric Fastener,Hex.Socket Head Product,215599.par           ,par,,90,,LAFCO OUTILLAGE INC. (USD),
185502,,24,,81,,,,EA,B,CARRIAGE BOLT,M10-1.50 X 30MM,ZINC PLATED [CL8.8],0.222,,185502,Metric Fastener,Hex.Head Product & Screw,185502.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
185514,,18,,81,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.2608,,185514,Metric Fastener,Hex.Head Product & Screw,185514.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185616,,4,,81,,,,EA,B,HEX.HD.CAP SCREW-FULL THD.,M10-1.50 X 50MM,ZINC PLATED [CL8.8],0.2104,,185616,Metric Fastener,Hex.Head Product & Screw,185616.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
185800,,8,,81,,,,EA,B,HEX.SOC.SHOULDER SCREW,M10 X 12MM X M8-1.25,ZINC PLATED,4.9956,,185800,Metric Fastener,Hex.Socket Head Product,185800.par           ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
202144,,24,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/2-13UNC,ZINC PLATED [GR.5],0.0704,,202144,Inch Fastener,Nut & Washer,E_AB_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
211911,,2,,81,,,,EA,B,CARRIAGE BOLT,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.4441,,211911,Metric Fastener,Hex.Head Product & Screw,211911.par           ,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24101208,,1,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 50MM,ZINC PLATED [CL8.8],0.538,,24101208,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X050_CLS,50x050_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101215,,4,,81,,,,EA,B,HEX.NUT,M10-1.50,ZINC PLATED [CL8.8],0.0279,,24101215,Metric Fastener,Nut & Washer,E_HEX_M10-1.50.par   ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,110,,81,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104548,,34,,81,,,,EA,B,WASHER;SPRING LOCK,M10,ZINC PLATED,0.0505,,24104548,Metric Fastener,Nut & Washer,RR_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104612,,6,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 55MM,ZINC PLATED [CL8.8],0.157,,24104612,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X055_CLS,50x055_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104717,,16,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 35MM,ZINC PLATED [CL8.8],0.1049,,24104717,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X035_CLS,50x035_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104735,,4,,81,,,,EA,B,HEX.SOC.CAP SCREW,M6-1.00 X 35MM,ZINC PLATED [CL8.8],0.1721,,24104735,Metric Fastener,Hex.Socket Head Product,VTCY_M06-1.00X035.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101209,,2,,81,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 60MM,ZINC PLATED [CL8.8],0.1282,,24101209,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X060_CLS,50x060_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,62,,81,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,62,,81,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104527,,10,,81,,,,EA,B,HEX.JAM NUT,M10-1.50,ZINC PLATED [CL8.8],0.0255,,24104527,Metric Fastener,Nut & Washer,E_CE_M10-1.50.PAR    ,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101223,,70,,81,,,,EA,B,WASHER;SPRING LOCK,M6,ZINC PLATED,0.0088,,24101223,Metric Fastener,Nut & Washer,RR_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,174,,81,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101224,,4,,81,,,,EA,B,WASHER;SPRING LOCK,M8,ZINC PLATED,0.0099,,24101224,Metric Fastener,Nut & Washer,RR_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101501,,38,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M6-1.00,ZINC PLATED [CL8.8],0.0139,,24101501,Metric Fastener,Nut & Washer,E_AB_M06-1.00.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101617,,2,,81,,,,EA,B,HEX.SOC.FH.CAP SCREW,"1/4-20UNC X 0.500""",ZINC PLATED [A574],0.0375,,24101617,Inch Fastener,Hex.Socket Head Product,VTFR_0.250-20X0.500.p,p,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24102247,,4,,81,,,,EA,B,HEX.JAM NUT,3/8-16UNC,ZINC PLATED [GR.5],0.0193,,24102247,Inch Fastener,Nut & Washer,E_CE_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102425,,4,,81,,,,EA,B,WASHER;FLAT M8,16MM OD;ZINC PLATED[GR.5],DIN 125A,0.0099,,24102425,Metric Fastener,Nut & Washer,RP_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101502,,4,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M8-1.25,ZINC PLATED [CL8.8],0.0177,,24101502,Metric Fastener,Nut & Washer,E_AB_M08-1.25.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103107,,4,,81,,,,EA,B,WASHER;SPRING LOCK,M12,ZINC PLATED,0.0181,,24103107,Metric Fastener,Nut & Washer,RR_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103218,,48,,81,,,,EA,B,HEX.SOC.FH.CAP SCREW,"#10-24UNC X 0.500""",[SS.304],0.0473,,24103218,Inch Fastener,Hex.Socket Head Product,VTFR_0.190-24X0.500_S,500_s,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24103620,,16,,81,,,,EA,B,HEX.SOC.FH.CAP SCREW,"1/2-13UNC X 1.500""",ZINC PLATED [A574],0.3859,,24103620,Inch Fastener,Hex.Socket Head Product,VTFR_0.500-13X1.500.p,p,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24103897,,21,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M12-1.75,ZINC PLATED [CL8.8],0.0585,,24103897,Metric Fastener,Nut & Washer,E_AB_M12-1.75.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104348,,8,,81,,,,EA,B,HEX.SOC.CAP SCREW,M8-1.25 X 20MM,ZINC PLATED [CL8.8],0.0811,,24104348,Metric Fastener,Hex.Socket Head Product,VTCY_M08-1.25X020.par,par,,90,7,FASTENAL CANADA LTD.(CAD)(KITC,
24103897,,21,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M12-1.75,ZINC PLATED [CL8.8],0.0585,,24103897,Metric Fastener,Nut & Washer,E_AB_M12-1.75.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104102,,73,,81,,,,EA,B,HEX.NYLON INSERT LOCKNUT,M10-1.50,ZINC PLATED [CL8.8],0.0475,,24104102,Metric Fastener,Nut & Washer,E_AB_M10-1.50.PAR    ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104197,,2,,81,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.0334,,24104197,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X016.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24102479,,25,,81,,,,EA,B,HEX.HD.CAP SCREW,M12-1.75 X 35MM,ZINC PLATED [CL8.8],0.1443,,24102479,Metric Fastener,Hex.Head Product & Screw,VTHE_M12-1.75X035_CLS,75x035_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104198,,2,,81,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0397,,24104198,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X020.par,par,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24104823,,10,,87,,,,EA,B,HEX.SOC.FH.CAP SCREW,M6-1.00 X 25MM,[SS.304],0.0918,,24104823,Metric Fastener,Hex.Socket Head Product,VTFR_M06-1.00X025_SS.,,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24101194,,6,,87,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 20MM,ZINC PLATED [CL8.8],0.0286,,24101194,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X020_CLS,00x020_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101193,,8,,87,,,,EA,B,HEX.HD.CAP SCREW,M6-1.00 X 16MM,ZINC PLATED [CL8.8],0.0214,,24101193,Metric Fastener,Hex.Head Product & Screw,VTHE_M06-1.00X016_CLS,00x016_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100791,,23,,87,,,,EA,B,HEX.HD.CAP SCREW,M10-1.50 X 25MM,ZINC PLATED [CL8.8],0.0795,,24100791,Metric Fastener,Hex.Head Product & Screw,VTHE_M10-1.50X025_CLS,50x025_cls,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100504,,2,,87,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,ZINC PLATED [GR.2],0.0165,,24100504,Inch Fastener,Nut & Washer,E_AB_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100172,,2,,87,,,,EA,B,WASHER;FLAT #10,"0.500"" OD;ZINC PLATED[GR.5]",SAE,0.0024,,24100172,Inch Fastener,Nut & Washer,RP_0.190.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,4,,87,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
