Item Number,number,Quantity,Equipment,Module,Level of significance,Category,Other Information,UOM,ST,Description 1,Description 2,Search Text,Unit Cost,Extended Cost,jdelitm,prp1,prp2,file_name,Type,DIM,Comm Class,Supplier,Item Pool,Drawing2
24100600,,1,,48,,,,EA,B,HEX.JAM NUT,1/2-13UNC,ZINC PLATED [GR.5],0.0645,,24100600,Inch Fastener,Nut & Washer,E_CE_0.500-13.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100504,,2,,48,,,,EA,B,HEX.NYLON INSERT LOCKNUT,1/4-20UNC,ZINC PLATED [GR.2],0.0165,,24100504,Inch Fastener,Nut & Washer,E_AB_0.250-20.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100398,,4,,48,,,,EA,B,HEX.SOC.CAP SCREW,M8-1.25 X 25MM,ZINC PLATED [CL8.8],0.0774,,24100398,Metric Fastener,Hex.Socket Head Product,VTCY_M08-1.25X025.par,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100375,,4,,48,,,,EA,B,CARRIAGE BOLT,"3/8-16UNC X 1.500""",ZINC PLATED [GR.5],0.1393,,24100375,Inch Fastener,Hex.Head Product & Screw,BCCC_0.375-16X1.500.P,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100175,,6,,48,,,,EA,B,HEX.NYLON INSERT LOCKNUT,3/8-16UNC,ZINC PLATED [GR.2],0.0293,,24100175,Inch Fastener,Nut & Washer,E_AB_0.375-16.PAR    ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101191,,6,,48,,,,EA,B,HEX.HD.CAP SCREW,M5-0.80 X 25MM,ZINC PLATED [CL8.8],0.0298,,24101191,Metric Fastener,Hex.Head Product & Screw,VTHE_M05-0.80X025_CLS,80x025_cls,,90,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100101,,3,,48,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.250""",ZINC PLATED [GR.5],0.152,,24100101,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.250_G,250_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104541,,6,,56,,,,EA,B,WASHER;FLAT M6,12MM OD;ZINC PLATED[GR.5],DIN 125A,0.0046,,24104541,Metric Fastener,Nut & Washer,RP_M06.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,5,,56,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104537,,5,,56,,,,EA,B,WASHER;FLAT M12,24MM OD;ZINC PLATED[GR.5],DIN 125A,0.0287,,24104537,Metric Fastener,Nut & Washer,RP_M12.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24104536,,28,,56,,,,EA,B,WASHER;FLAT M10,20MM OD;ZINC PLATED[GR.5],DIN 125A,0.0164,,24104536,Metric Fastener,Nut & Washer,RP_M10.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24102425,,4,,56,,,,EA,B,WASHER;FLAT M8,16MM OD;ZINC PLATED[GR.5],DIN 125A,0.0099,,24102425,Metric Fastener,Nut & Washer,RP_M08.PAR           ,par,,90,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100983,,4,,56,,,,EA,B,CARRIAGE BOLT,"3/8-16UNC X 1.250""",ZINC PLATED [GR.5],0.0781,,24100983,Inch Fastener,Hex.Head Product & Screw,BCCC_0.375-16X1.250.P,p,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24101008,,4,,56,,,,EA,B,HEX.SOC.FH.CAP SCREW,"5/16-18UNC X 1.250""",ZINC PLATED [A574],0.0869,,24101008,Inch Fastener,Hex.Socket Head Product,VTFR_0.313-18X1.250.p,p,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
113930,,1,,56,,,,EA,B,HEX.HD.CAP SCREW,"1/4-20UNC X 0.625""",ZINC PLATED [GR.5],0.0216,,113930,Inch Fastener,Hex.Head Product & Screw,VTHE_0.250-20X0.625_G,625_g,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
209914,,2,,56,,,,EA,P,HEX.NUT,"1/2""-10 ACME ZINC PLATED",98948A730,14.105,,209914,Inch Fastener,Nut & Washer,209914.par           ,par,,50,,LAFCO OUTILLAGE INC. (USD),
24100086,,8,,56,,,,EA,B,HEX.HD.CAP SCREW,"3/8-16UNC X 3.750""",ZINC PLATED [GR.5],0.172,,24100086,Inch Fastener,Hex.Head Product & Screw,VTHE_0.375-16X3.750_G,750_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100030,,5,,56,,,,EA,B,HEX.HD.CAP SCREW,"1/2-13UNC X 1.000""",ZINC PLATED [GR.5],0.1333,,24100030,Inch Fastener,Hex.Head Product & Screw,VTHE_0.500-13X1.000_G,000_g,,50,6,FASTENAL CANADA LTD.(CAD)(KITC,
24100056,,2,,56,,,,EA,B,WASHER;SPRING LOCK,"0.250""",ZINC PLATED,0.0056,,24100056,Inch Fastener,Nut & Washer,RR_0.250.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100058,,12,,56,,,,EA,B,WASHER;SPRING LOCK,"0.375""",ZINC PLATED,0.0113,,24100058,Inch Fastener,Nut & Washer,RR_0.375.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
24100060,,5,,56,,,,EA,B,WASHER;SPRING LOCK,"0.500""",ZINC PLATED,0.0326,,24100060,Inch Fastener,Nut & Washer,RR_0.500.PAR         ,par,,50,5,FASTENAL CANADA LTD.(CAD)(KITC,
